cgpa,Critical Thinking,Problem Solving,Team Work,Communication Skill,Software Engineering Principal,Data Structure & Algorithm,Database Management,Data Analysis skill,Web Developing Skill,Understanding of computer architecture & System,Understanding Operating System,Networking Concept,Cyber Security Skill,Machine Learning Skill,Robotics Skill,Research Skill,publication,project,Job Environment,Job Security,Salary,Social Acceptance,flaxible Work Life Balanced,Other.1,Abroad,Bank Job,Business,Cyber Security,Data Analysis,Database Administration,Gaming,ML/AI Engineer,Networking,Other,Researcher,Software Development,Teaching
3.34,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.38,3,3,3,1,3,3,3,2,3,1,1,1,2,2,1,1,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.55,3,1,3,3,1,1,1,1,1,1,2,1,1,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.92,3,1,3,3,2,2,1,1,1,3,3,1,1,1,1,3,5,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2.92,3,3,3,2,3,3,3,2,3,2,3,2,1,2,2,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.05,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,2,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.78,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,0,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1
3.01,2,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,0,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3.12,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,0,2,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1
2.9,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.2742857142857145,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.66,2,2,3,2,2,2,2,2,1,1,1,1,1,2,1,1,0,3,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
3.21,2,2,2,1,2,2,2,1,1,2,2,2,1,1,1,1,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
3.66,2,2,2,1,2,2,2,1,3,2,1,1,1,1,1,1,0,3,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3.2742857142857145,2,2,3,3,1,2,1,1,1,1,1,1,1,1,1,2,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.0,2,2,2,3,1,1,2,1,1,1,1,1,1,1,1,1,0,5,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3.13,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
3.61,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.65,1,2,3,2,2,2,2,2,2,1,1,3,1,1,1,1,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.21,3,1,2,1,2,1,2,1,2,2,1,2,2,1,1,1,0,5,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
3.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.5,1,2,2,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1.75,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.37,0,2,1,2,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0
4.0,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3.43,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3.96,3,3,3,3,2,2,3,3,2,2,2,1,1,3,1,3,1,5,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
3.67,2,2,3,2,1,1,1,1,1,1,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.43,2,2,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.49,1,3,2,2,2,2,3,2,3,2,3,3,2,2,2,2,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
2.83,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2.98,2,2,3,2,1,2,1,2,1,1,1,1,2,2,0,2,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
3.2,2,2,2,1,1,2,2,1,2,1,1,2,1,1,2,1,1,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3.16,1,2,1,1,2,2,1,1,1,1,2,2,2,1,1,2,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
2.92,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.22,3,2,2,2,1,2,2,1,2,3,1,1,2,2,1,1,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1.6,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3.41,2,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3.5,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.4,2,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,3,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3.17,2,2,2,1,1,1,1,2,2,1,2,1,2,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.58,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,0,6,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.79,1,1,2,3,1,2,1,1,1,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3.52,2,2,2,1,1,3,3,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3.59,2,2,2,2,2,2,2,1,1,2,1,0,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
3.6,1,1,2,2,1,2,1,1,1,2,2,1,2,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3.6,2,1,2,2,1,2,2,1,1,1,1,1,1,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
3.47,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
3.2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.64,2,2,2,1,2,2,2,1,2,2,2,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0
3.7,2,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.3,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.89,2,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.09,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3.26,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3.56,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.0,2,3,3,2,2,2,2,2,1,1,2,1,1,1,1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.4,3,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.88,1,2,2,2,1,1,2,2,2,3,3,1,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.71,2,2,2,1,1,3,3,1,3,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.66,1,2,2,2,2,2,2,1,1,1,0,2,2,2,2,2,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3.57,1,2,2,2,1,1,2,2,2,1,2,1,1,0,1,1,2,2,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3.27,1,2,1,1,2,2,1,2,1,1,2,2,2,1,1,2,2,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
3.33,2,2,2,3,2,3,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3.15,3,3,3,1,2,3,3,1,2,2,3,2,2,2,2,2,0,4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
3.0,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3.91,2,2,3,2,2,2,2,2,3,2,2,1,2,3,2,3,0,4,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0
3.63,1,2,3,2,2,2,2,2,3,2,2,2,2,1,1,1,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.16,1,2,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
3.67,3,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
3.15,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.41,3,2,3,2,3,2,3,2,3,3,3,3,3,2,2,2,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3.52,2,2,3,3,2,2,2,2,1,3,2,3,2,2,2,2,1,2,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
3.54,2,2,2,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0
3.32,2,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.71,3,3,2,2,2,2,2,1,1,2,2,1,1,1,1,1,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3.69,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2,1,2,1,2,2,2,1,2,2,2,2,1,1,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.62,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2.93,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.26,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
3.48,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3.66,2,2,2,1,2,2,2,3,3,1,1,1,0,2,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
3.11,3,2,2,1,1,2,1,2,3,1,1,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.8,3,2,3,2,1,2,2,1,2,1,1,1,0,1,0,1,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
3.2,3,2,3,2,2,2,2,2,1,1,1,2,2,2,3,1,0,5,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0
2.93,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.35,3,2,3,2,2,2,2,1,2,1,1,2,1,1,1,1,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
3.66,2,2,3,3,2,2,1,2,1,2,2,3,2,1,0,2,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
2.56,3,2,2,1,3,3,2,1,3,0,1,1,0,1,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.66,2,2,3,3,2,2,1,2,1,0,2,3,0,2,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3.07,1,1,3,3,1,2,1,0,1,2,2,3,2,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.66,2,1,3,3,2,2,1,2,1,2,2,3,2,1,2,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3.56,3,3,3,2,3,3,3,2,3,2,2,1,1,1,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.88,3,2,2,2,2,2,2,2,1,1,2,2,1,1,1,3,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3.9,3,3,2,2,2,2,2,1,2,2,2,2,1,1,1,3,4,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2.95,3,3,3,2,3,3,1,1,3,3,3,1,1,1,1,1,0,4,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
3.0,3,3,3,2,3,3,3,2,3,3,3,1,1,1,1,1,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
3.23,3,1,2,1,2,3,3,3,1,3,3,2,2,3,3,1,0,4,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2.98,2,2,3,2,1,2,2,0,2,1,2,0,0,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3.78,3,2,2,3,1,2,1,1,2,2,2,2,2,1,1,3,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2.91,1,1,2,3,1,1,1,0,1,0,1,0,0,0,0,1,0,2,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
3.33,2,2,1,1,2,2,1,3,1,1,2,1,1,2,0,0,1,5,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
